Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
47cLlqB_JU4,Exercício de Probabilidade - Covariância | Teste 2 P2 2019 POLI-USP,"Jun 14, 2024",7,0,25.72,0:02:40,70,3.1209,0,1892
TdxctQmIQvg,Aulão de Probabilidade Parte 2: Fuja do Nabo 01/07/2023,"Jul 1, 2023",7,0,20,0:12:26,317,65.7326,0,7441
_7pBviznAeo,O que é a Justeza de um Estimador? #Shorts,"Dec 2, 2022",7,1,54.69,0:00:32,83,0.7565,1,4915
tH_0a3jGk9Q,O que são os estimadores da estatística? #Shorts,"Nov 25, 2022",7,0,46.2,0:00:26,84,0.6252,0,5743
LaRqddgAerg,ÚLTIMO DIA JORNADA ESTATÍSTICA NO R #shorts,"Jan 20, 2023",6,0,36.31,0:00:21,39,0.2281,0,5017
YSwb0YYG358,Exercício de Probabilidade - Distribuição Uniforme Conjunta | Teste 4 P3 2019 POLI-USP,"Jun 14, 2024",6,0,29.38,0:02:15,47,1.7645,0,1443
lcNQeh4UMsk,Aula 4 - O Novo Report - Jornada THM de Análise de Dados e Estatística no R,"Jan 20, 2023",6,0,12.31,0:04:13,76,5.3493,0,1893
vZ8h-AHyPug,Exercício de Distribuição Binomial em 1 minuto ou menos #estatística #probabilidade #cienciadedados,"Jan 17, 2024",6,7,50.69,0:00:30,340,2.9203,7,8405
x7ow4XsNUAM,Aulão de Probabilidade Parte 3: Fuja do Nabo 01/07/2023,"Jul 1, 2023",6,0,25.42,0:08:01,205,27.3908,0,7575
DGwGJp3pdiw,CRIE NOVAS COLUNAS DE FORMA INTELIGENTE COM MUTATE NO R,"Jun 30, 2023",5,1,13.86,0:01:52,67,2.1029,1,4044
GzW07cx476o,Domine os Conceitos de Amostragem e Inferência!,"May 14, 2024",5,0,47.26,0:00:17,47,0.2221,0,1948
CBJXZrgPIYw,Estudo de Caso | Curso de Desenvolvimento Full Stack,"Feb 8, 2024",4,1,20.81,0:02:12,77,2.8437,1,2248
fOoWjZs8uHg,Programação de A à R - Vetores e Data Frames,"Jun 17, 2024",4,0,6.45,0:01:26,64,1.5365,-1,3214
AWuJNXF6t4M,HTML | Curso de Desenvolvimento Full Stack,"Feb 22, 2024",3,0,10.66,0:05:28,30,2.7345,-1,2223
POfBxLvf59A,Preparação do Ambiente | Curso de Desenvolvimento Full Stack,"Feb 15, 2024",3,0,29.32,0:03:49,40,2.5509,0,1920
XJivIaFXHbg,Programação de A à R - Conceitos de Objetos e Classes,"Jun 3, 2024",3,0,22.82,0:02:42,24,1.0845,0,1528
apbh4TO6YoE,Programação de A à R - Conceitos de Funções,"Jun 10, 2024",3,0,13.22,0:02:23,24,0.9589,0,1260
gcCRUBh2T_U,Exercício de Probabilidade - Distribuição Exponencial Conjunta | Teste 1 P3 2019 POLI-USP,"Jun 11, 2024",3,0,23.27,0:01:48,56,1.6871,0,1258
lYnAJAbD1DA,Exercício de Probabilidade - Distribuição Conjunta | Teste 12 2022 POLI-USP,"Jun 13, 2024",3,1,7.73,0:00:43,49,0.5978,1,2874
1zm17fmH2uk,Mini Projeto Calculadora | Curso de Desenvolvimento Full Stack,"May 2, 2024",2,1,3.18,0:01:09,25,0.4796,1,3088
4E0mtHgINT4,JavaScript | Curso de Desenvolvimento Full Stack,"Apr 11, 2024",2,2,10.2,0:02:11,20,0.7307,2,2400
N8UZ7jdv5_4,Treinamento R e Estatística de Dados Ambientais - Aula 01 continuação,,2,2,4.55,0:09:58,77,12.7992,2,6
XKAI9HQgW1M,Prototipação Com Figma | Curso de Desenvolvimento Full Stack,"Mar 7, 2024",2,2,10.75,0:02:35,25,1.0822,1,2278
cukUCxs0Nwo,Desenvolvimento FULL STACK: a nova tendência para programadores versáteis,"Feb 5, 2024",2,0,48.79,0:00:15,29,0.1218,0,1772
sU9aCpptY4s,CSS | Curso de Desenvolvimento Full Stack,"Feb 29, 2024",2,0,11.04,0:03:45,43,2.6885,-1,2075
3PFPUR_eubc,Treinamento R e Estatística de Dados Ambientais - Aula 05 parte 4 - RMarkdown,,1,0,17.9,0:22:00,5,1.8343,0,0
7WQG8C8gGNs,Aplicando JavaScript no Nosso Projeto | Curso de Desenvolvimento Full Stack,"May 9, 2024",1,0,1.84,0:00:45,16,0.2025,0,2227
U6BWkIFvjuY,Prototipando o Projeto | Curso de Desenvolvimento Full Stack,"Mar 28, 2024",1,0,15.83,0:02:50,8,0.3782,0,2503
UyjcNNkUYVc,Displays no CSS| Curso de Desenvolvimento Full Stack,"Mar 14, 2024",1,0,15.53,0:03:54,16,1.0424,0,2095
5x6asyzbex8,Treinamento R e Estatística de Dados Ambientais - Aula 03 parte 1,,0,0,6.16,0:07:47,9,1.1695,0,0
F_460K-WJos,Treinamento R e Estatística de Dados Ambientais - Aula 02 parte 2,,0,0,7.14,0:12:47,7,1.4928,0,0
FvatSts36WY,Treinamento R e Estatística de Dados Ambientais - Aula 05 parte 1,,0,0,1.83,0:02:18,7,0.2699,0,0
Gp6ABPv-YLI,Treinamento R e Estatística de Dados Ambientais - Aula 05 parte 2,,0,0,6.64,0:10:02,11,1.8416,0,0
KgSju_Mr5oE,Codando Nosso Protótipo | Curso de Desenvolvimento Full Stack,"Apr 4, 2024",0,0,8.16,0:01:55,14,0.4476,0,2659
SimO439cMVM,Bootstrap | Curso de Desenvolvimento Full Stack,"Apr 25, 2024",0,0,4.95,0:01:04,25,0.4459,-1,2534
YVNgJiAK1ns,Treinamento R e Estatística de Dados Ambientais - Aula 03 parte 2,,0,0,13.24,0:07:56,4,0.5295,0,0
b78Ujrzi60I,Manipulação de Array e Objetos em JavaScript| Curso de Desenvolvimento Full Stack,"Apr 18, 2024",0,0,4.14,0:01:26,24,0.5757,0,2505
gFYpTcjfxZg,Treinamento R e Estatística de Dados Ambientais - Aula 02 parte1,,0,0,7.72,0:12:14,11,2.2435,0,0
kZSNwg8v1-k,Treinamento R e Estatística de Dados Ambientais - Aula 03 parte 3,,0,0,6.28,0:13:56,9,2.0919,0,0
m6MiY_1Bocw,Banco de Dados Relacional | Curso de Desenvolvimento Full Stack,"May 16, 2024",0,0,7.46,0:02:26,20,0.8138,0,2755
ow3tys3kx5w,Treinamento R e Estatística de Dados Ambientais - Aula 04,,0,0,7.92,0:12:21,6,1.2351,0,0
sDunIiHfH1s,Treinamento R e Estatística de Dados Ambientais - Aula 05 parte 3,,0,0,5.49,0:04:48,11,0.8801,0,0
sLdnlJ-LpAA,Responsividade e Animações | Curso de Desenvolvimento Full Stack,"Mar 21, 2024",0,0,10.56,0:02:37,13,0.5673,0,2423
